ts	node	free_mb	total_mb	used_mb
2026-03-10 00:00:23.754	Node1	11.018	11.023	0.004999999999999005
2026-03-10 00:00:24.274	Node1	11.018	11.023	0.004999999999999005
2026-03-10 00:00:25.924	Node1	11.017	11.023	0.006000000000000227
2026-03-10 00:00:26.119	Node2	10.975	11.023	0.04800000000000004
2026-03-10 00:00:26.449	Node2	10.975	11.023	0.04800000000000004
2026-03-10 00:00:26.474	Node1	11.017	11.023	0.006000000000000227
2026-03-10 00:00:28.104	Node1	11.017	11.023	0.006000000000000227
2026-03-10 00:00:28.554	Node1	11.017	11.023	0.006000000000000227
2026-03-10 00:00:28.759	Node2	10.974	11.023	0.04899999999999949
2026-03-10 00:00:28.926	General	11.013	11.023	0.009999999999999787
2026-03-10 00:00:32.366	General	11.012	11.023	0.010999999999999233
2026-03-10 00:01:03.524	Node1	11.016	11.023	0.006999999999999673
2026-03-10 00:01:03.754	Node1	11.016	11.023	0.006999999999999673
2026-03-10 00:01:03.829	Node2	10.974	11.023	0.04899999999999949
2026-03-10 00:01:04.779	Node2	10.974	11.023	0.04899999999999949
2026-03-10 00:01:05.694	Node1	11.016	11.023	0.006999999999999673
2026-03-10 00:01:05.934	Node1	11.015	11.023	0.007999999999999119
2026-03-10 00:01:06.009	Node2	10.973	11.023	0.049999999999998934
2026-03-10 00:01:06.579	Node2	10.973	11.023	0.049999999999998934
2026-03-10 00:01:07.874	Node1	11.015	11.023	0.007999999999999119
2026-03-10 00:01:08.014	Node1	11.015	11.023	0.007999999999999119
2026-03-10 00:01:08.496	General	11.011	11.023	0.012000000000000455
2026-03-10 00:01:08.809	Node2	10.973	11.023	0.049999999999998934
2026-03-10 00:01:08.836	General	11.011	11.023	0.012000000000000455
2026-03-10 00:01:10.726	General	11.011	11.023	0.012000000000000455
2026-03-10 00:01:11.026	General	11.011	11.023	0.012000000000000455
2026-03-10 00:01:43.544	Node1	11.014	11.023	0.009000000000000341
2026-03-10 00:01:43.804	Node1	11.014	11.023	0.009000000000000341
2026-03-10 00:01:43.829	Node2	10.972	11.023	0.051000000000000156
2026-03-10 00:01:44.519	Node2	10.972	11.023	0.051000000000000156
2026-03-10 00:01:45.734	Node1	11.014	11.023	0.009000000000000341
2026-03-10 00:01:45.984	Node1	11.014	11.023	0.009000000000000341
2026-03-10 00:01:46.009	Node2	10.972	11.023	0.051000000000000156
2026-03-10 00:01:46.539	Node2	10.971	11.023	0.0519999999999996
2026-03-10 00:01:47.934	Node1	11.014	11.023	0.009000000000000341
2026-03-10 00:01:48.164	Node1	11.013	11.023	0.009999999999999787
2026-03-10 00:01:48.189	Node2	10.971	11.023	0.0519999999999996
2026-03-10 00:01:48.929	Node2	10.971	11.023	0.0519999999999996
2026-03-10 00:01:49.506	General	11.01	11.023	0.0129999999999999
2026-03-10 00:01:49.866	General	11.01	11.023	0.0129999999999999
2026-03-10 00:01:51.706	General	11.009	11.023	0.013999999999999346
2026-03-10 00:01:52.066	General	11.009	11.023	0.013999999999999346
2026-03-10 00:02:23.884	Node1	11.012	11.023	0.010999999999999233
2026-03-10 00:02:23.929	Node2	10.97	11.023	0.05299999999999905
2026-03-10 00:02:24.269	Node2	10.97	11.023	0.05299999999999905
2026-03-10 00:02:24.384	Node1	11.012	11.023	0.010999999999999233
2026-03-10 00:02:25.794	Node1	11.012	11.023	0.010999999999999233
2026-03-10 00:02:26.084	Node1	11.012	11.023	0.010999999999999233
2026-03-10 00:02:26.099	Node2	10.97	11.023	0.05299999999999905
2026-03-10 00:02:26.429	Node2	10.97	11.023	0.05299999999999905
2026-03-10 00:02:27.984	Node1	11.012	11.023	0.010999999999999233
2026-03-10 00:02:28.294	Node1	11.011	11.023	0.012000000000000455
2026-03-10 00:02:28.329	Node2	10.969	11.023	0.05400000000000027
2026-03-10 00:02:29.546	General	11.008	11.023	0.015000000000000568
2026-03-10 00:02:30.606	General	11.008	11.023	0.015000000000000568
2026-03-10 00:02:31.746	General	11.008	11.023	0.015000000000000568
2026-03-10 00:02:32.386	General	11.008	11.023	0.015000000000000568
2026-03-10 00:02:33.946	General	11.008	11.023	0.015000000000000568
2026-03-10 00:02:34.556	General	11.007	11.023	0.016000000000000014
2026-03-10 00:03:03.654	Node1	11.011	11.023	0.012000000000000455
2026-03-10 00:03:03.904	Node1	11.01	11.023	0.0129999999999999
2026-03-10 00:03:04.009	Node2	10.969	11.023	0.05400000000000027
2026-03-10 00:03:04.819	Node2	10.969	11.023	0.05400000000000027
2026-03-10 00:03:05.864	Node1	11.01	11.023	0.0129999999999999
2026-03-10 00:03:06.084	Node1	11.01	11.023	0.0129999999999999
2026-03-10 00:03:06.199	Node2	10.968	11.023	0.054999999999999716
2026-03-10 00:03:06.589	Node2	10.968	11.023	0.054999999999999716
2026-03-10 00:03:07.934	Node1	11.01	11.023	0.0129999999999999
2026-03-10 00:03:08.264	Node1	11.01	11.023	0.0129999999999999
2026-03-10 00:03:08.369	Node2	10.968	11.023	0.054999999999999716
2026-03-10 00:03:09.069	Node2	10.968	11.023	0.054999999999999716
2026-03-10 00:03:09.766	General	11.007	11.023	0.016000000000000014
2026-03-10 00:03:10.116	General	11.007	11.023	0.016000000000000014
2026-03-10 00:03:11.816	General	11.006	11.023	0.01699999999999946
2026-03-10 00:03:12.296	General	11.006	11.023	0.01699999999999946
2026-03-10 00:03:13.606	General	11.006	11.023	0.01699999999999946
2026-03-10 00:03:14.496	General	11.006	11.023	0.01699999999999946
2026-03-10 00:03:43.904	Node1	11.009	11.023	0.013999999999999346
2026-03-10 00:03:43.939	Node2	10.967	11.023	0.05599999999999916
2026-03-10 00:03:44.064	Node1	11.008	11.023	0.015000000000000568
2026-03-10 00:03:44.659	Node2	10.967	11.023	0.05599999999999916
2026-03-10 00:03:46.074	Node1	11.008	11.023	0.015000000000000568
2026-03-10 00:03:46.139	Node2	10.966	11.023	0.057000000000000384
2026-03-10 00:03:46.244	Node1	11.008	11.023	0.015000000000000568
2026-03-10 00:03:46.669	Node2	10.966	11.023	0.057000000000000384
2026-03-10 00:03:48.379	Node2	10.966	11.023	0.057000000000000384
2026-03-10 00:03:48.999	Node2	10.966	11.023	0.057000000000000384
2026-03-10 00:03:50.726	General	11.005	11.023	0.017999999999998906
2026-03-10 00:03:51.136	General	11.005	11.023	0.017999999999998906
2026-03-10 00:03:52.936	General	11.004	11.023	0.019000000000000128
2026-03-10 00:03:53.336	General	11.004	11.023	0.019000000000000128
2026-03-10 00:03:55.536	General	11.004	11.023	0.019000000000000128
2026-03-10 00:04:23.934	Node1	11.008	11.023	0.015000000000000568
2026-03-10 00:04:24.149	Node2	10.965	11.023	0.05799999999999983
2026-03-10 00:04:24.184	Node1	11.007	11.023	0.016000000000000014
2026-03-10 00:04:24.809	Node2	10.965	11.023	0.05799999999999983
2026-03-10 00:04:26.104	Node1	11.007	11.023	0.016000000000000014
2026-03-10 00:04:26.319	Node2	10.965	11.023	0.05799999999999983
2026-03-10 00:04:26.374	Node1	11.007	11.023	0.016000000000000014
2026-03-10 00:04:26.669	Node2	10.964	11.023	0.058999999999999275
2026-03-10 00:04:28.294	Node1	11.007	11.023	0.016000000000000014
2026-03-10 00:04:28.594	Node1	11.006	11.023	0.01699999999999946
2026-03-10 00:04:28.609	Node2	10.964	11.023	0.058999999999999275
2026-03-10 00:04:28.949	Node2	10.964	11.023	0.058999999999999275
2026-03-10 00:04:30.236	General	11.003	11.023	0.019999999999999574
2026-03-10 00:04:31.106	General	11.003	11.023	0.019999999999999574
2026-03-10 00:04:32.006	General	11.003	11.023	0.019999999999999574
2026-03-10 00:04:32.886	General	11.003	11.023	0.019999999999999574
2026-03-10 00:04:34.196	General	11.002	11.023	0.02099999999999902
2026-03-10 00:04:35.096	General	11.002	11.023	0.02099999999999902
2026-03-10 00:05:03.904	Node1	11.006	11.023	0.01699999999999946
2026-03-10 00:05:04.154	Node1	11.005	11.023	0.017999999999998906
2026-03-10 00:05:04.379	Node2	10.963	11.023	0.0600000000000005
2026-03-10 00:05:05.169	Node2	10.963	11.023	0.0600000000000005
2026-03-10 00:05:06.094	Node1	11.005	11.023	0.017999999999998906
2026-03-10 00:05:06.354	Node1	11.005	11.023	0.017999999999998906
2026-03-10 00:05:06.529	Node2	10.963	11.023	0.0600000000000005
2026-03-10 00:05:06.969	Node2	10.963	11.023	0.0600000000000005
2026-03-10 00:05:08.464	Node1	11.005	11.023	0.017999999999998906
2026-03-10 00:05:08.609	Node2	10.963	11.023	0.0600000000000005
2026-03-10 00:05:09.229	Node2	10.962	11.023	0.06099999999999994
2026-03-10 00:05:10.906	General	11.002	11.023	0.02099999999999902
2026-03-10 00:05:11.386	General	11.001	11.023	0.02200000000000024
2026-03-10 00:05:13.096	General	11.001	11.023	0.02200000000000024
2026-03-10 00:05:13.916	General	11.001	11.023	0.02200000000000024
2026-03-10 00:05:43.974	Node1	11.004	11.023	0.019000000000000128
2026-03-10 00:05:44.119	Node2	10.962	11.023	0.06099999999999994
2026-03-10 00:05:44.224	Node1	11.004	11.023	0.019000000000000128
2026-03-10 00:05:44.839	Node2	10.961	11.023	0.06199999999999939
2026-03-10 00:05:46.154	Node1	11.003	11.023	0.019999999999999574
2026-03-10 00:05:46.309	Node2	10.961	11.023	0.06199999999999939
2026-03-10 00:05:46.414	Node1	11.003	11.023	0.019999999999999574
2026-03-10 00:05:46.859	Node2	10.961	11.023	0.06199999999999939
2026-03-10 00:05:48.344	Node1	11.003	11.023	0.019999999999999574
2026-03-10 00:05:48.529	Node2	10.961	11.023	0.06199999999999939
2026-03-10 00:05:48.754	Node1	11.003	11.023	0.019999999999999574
2026-03-10 00:05:49.179	Node2	10.961	11.023	0.06199999999999939
2026-03-10 00:05:50.536	General	11.0	11.023	0.022999999999999687
2026-03-10 00:05:50.926	General	11.0	11.023	0.022999999999999687
2026-03-10 00:05:52.736	General	11.0	11.023	0.022999999999999687
2026-03-10 00:05:53.126	General	10.999	11.023	0.023999999999999133
2026-03-10 00:05:54.836	General	10.999	11.023	0.023999999999999133
2026-03-10 00:05:55.336	General	10.999	11.023	0.023999999999999133
2026-03-10 00:06:24.014	Node1	11.002	11.023	0.02099999999999902
2026-03-10 00:06:24.114	Node1	11.002	11.023	0.02099999999999902
2026-03-10 00:06:24.539	Node2	10.96	11.023	0.06299999999999883
2026-03-10 00:06:24.869	Node2	10.96	11.023	0.06299999999999883
2026-03-10 00:06:26.174	Node1	11.002	11.023	0.02099999999999902
2026-03-10 00:06:26.294	Node1	11.002	11.023	0.02099999999999902
2026-03-10 00:06:26.479	Node2	10.959	11.023	0.06400000000000006
2026-03-10 00:06:26.809	Node2	10.959	11.023	0.06400000000000006
2026-03-10 00:06:28.374	Node1	11.001	11.023	0.02200000000000024
2026-03-10 00:06:28.474	Node1	11.001	11.023	0.02200000000000024
